text,type,label
Chapter 2: Slave Caravan,narration,0
Sunny dreamt of a mountain.,narration,0
"Jagged and lonesome, it dwarfed other peaks of the mountain chain, cutting the night sky with its sharp edges. A radiant moon bathed its slopes in the ghostly, pale light.",narration,0
"On one of the slopes, the remnants of an old road stubbornly clung to the rocks. Here and there, weathered paved stones could be seen through the snow. To the right side of the road, a sheer cliff face rose as an impregnable wall. To the left, a silent black sea of nothingness indicated an endless fall. Strong winds crashed into the mountain over and over again, screaming in powerless rage.",narration,0
"Suddenly, the moon fell over the horizon. The sun rose from the west, streaked across the sky and disappeared in the east. Snowflakes jumped from the ground and returned into the embrace of clouds. Sunny realized that he was seeing the flow of time in reverse.",narration,0
"In an instant, hundreds of years flew by. The snow retreated, baring the old road. Cold shivers ran down Sunny's back as he noticed human bones littering the ground. A moment later, the bones were gone, and in their place, a slave caravan appeared, moving backwards down the mountain in the clamor of chains.",narration,0
"Time slowed, stopped, and then resumed its usual pace.",narration,0
[Aspirant! Welcome to the Nightmare Spell. Prepare for your First Trial…],speech,0
'What… what the hell is this?',speech,0
Step. Step. Another step.,narration,0
"A dull ache was radiating through Sunny's bleeding feet as he was shivering from cold. His threadbare tunic was nearly useless against the biting wind. His wrists were the main source of agony: badly hurt by the iron shackles, they sent a sharp pang of pain every time the freezing metal touched his broken skin.",narration,0
'What kind of a situation is this?!',speech,0
"Sunny looked up and down, noticing a long chain winding up the road, with dozens and dozens of hollow-eyed people — slaves just like him — shackled to it at small intervals. Ahead of him, a man with broad shoulders and a bloodied back was walking with a measured gait. Behind him, a shifty-looking guy with quick, desperate eyes was quietly cursing under his breath in a language that Sunny did not know, but somehow still understood. From time to time, armed horsemen in ancient-style armor would pass by, giving the slaves menacing looks.",narration,0
"However you judged it, things were really bad.",narration,0
"Sunny was more bewildered than panicked. True, these circumstances were not like what the First Nightmares were supposed to be. Usually, freshly chosen aspirants would find themselves in a scenario that presented them with a fair amount of agency: they would become members of privileged or warrior castes, with plenty of access to necessary weapons to at least try to tackle any conflict.",narration,0
"Starting out as a powerless slave, shackled and already half-dead, was as far from being ideal as one could imagine.",narration,0
"However, the Spell was as much about challenge as it was about balance. As the old policeman said, it created trials, not executions. So Sunny was pretty sure that, to counter this abysmal start, it would reward him with something good. A powerful Aspect, at least.",narration,0
'Let's see… how do I do this?',narration,0
"Remembering popular webtoons he read as a child, Sunny concentrated and thought about words like ""status"", ""myself"" and ""information"". Indeed, as soon as he focused, shimmering runes appeared in the air in front of him. Once again, although he did not know this ancient alphabet, the meaning behind it was somehow clear.",mix,1
"He quickly found the rune describing his Aspect… and, finally, lost his composure.",narration,0
'What?! What the actual fuck?!',speech,0
***,narration,0
Name: Sunless.,narration,0
True Name: —,narration,0
Rank: Aspirant.,narration,0
Soul Core: Dormant.,narration,0
Memories: —,narration,0
Echoes: —,narration,0
"Attributes: [Fated], [Mark of Divinity], [Child of Shadows].",mix,1
Aspect: [Temple Slave].,mix,1
"Aspect Description: [Slave is a useless wretch with no skills or abilities worth a mention. A temple slave is just the same, except much rarer.]",mix,1
"Speechless, Sunny stared at the runes, trying to convince himself that he was maybe just seeing things. Surely, he couldn't be that unlucky… right?",narration,0
'No useless Aspects my ass!',speech,0
"As soon as this thought appeared in his mind, he lost the rhythm of his steps and stumbled, pulling the chain down with his weight. Immediately, the shifty guy behind him screamed:",narration,0
"""Whore's bastard! Watch where you're going!""",speech,0
"Sunny hurriedly dismissed the runes, which were only visible to him, and tried to recover his balance. A moment later, he was once again walking steadily — however, not before inadvertently pulling on the chain one more time.",narration,0
"""You little shit! I'm going to kill you!""",speech,0
The broad-shouldered man in front of Sunny chuckled without turning his head.,narration,0
"""Why bother? The weakling will be dead by sunrise anyway. The mountain will kill him.""",speech,0
"A few seconds later, he added:",narration,0
"""It'll kill you and me, too. Just a bit later. I really don't know what the Imperials are thinking, forcing us into this cold.""",speech,0
The shifty guy gasped.,narration,0
"""Speak for yourself, fool! I'm planning to survive!""",speech,0
Sunny silently shook his head and concentrated on not falling again.,narration,0
'What a charming pair.',speech,0
"Suddenly, a third voice joined the conversation from somewhere further back. This one sounded gentle and intelligent.",narration,0
"""This mountain pass is usually much warmer this time of year. We just had really bad luck. Also, I would advise you against harming this boy.""",speech,0
"""Why is that?""",speech,0
"Sunny turned his head slightly, listening.",narration,0
"""Haven't you seen the markings on his skin? He is not like us, who fell into slavery due to debts, crimes or misfortune. He was born a slave. A temple slave, to be precise. Not long ago, the Imperials destroyed the last temple of the Shadow God. I suspect that this is how the boy ended up here.""",speech,0
The broad-shouldered man cast a look back.,narration,0
"""So what? Why should we be afraid of a half-forgotten, weakling god? He couldn't even save his own temples.""",speech,0
"""The Empire is protected by the mighty War God. Of course they're not afraid to burn down a few temples. But we here are not protected by anything or anyone. Do you really want to risk angering a god?""",speech,0
"The broad-shouldered man grunted, not willing to answer.",narration,0
"Their conversation was stopped by a young soldier riding a beautiful, white horse. Clad in a simple leather cuirass, armed with a spear and a short sword, he looked dignified and noble. To Sunny's irritation, the asshole was really pretty, too. If this was a historical drama, the soldier would definitely be a male lead.",narration,0
"""What is going on here?""",speech,0
