text,type,label
Chapter 1:,narration,0
Nightmare Begins,narration,0
"A frail-looking young man with pale skin and dark circles under his eyes was sitting on a rusty bench across from the police station. He was cradling a cup of coffee in his hands — not the cheap synthetic type slum rats like him had access to, but the real deal. This cup of plant-based coffee, usually available only to higher rank citizens, had cost most of his savings. But on this particular day, Sunny decided to pamper himself.",narration,0
"After all, his life was coming to an end.",narration,0
"Enjoying the warmth of the luxurious drink, he raised the cup and savored the aroma. Then, tentatively, he took a small sip… and immediately grimaced.",narration,0
"""Ah! So bitter!""",speech,0
"Giving the cup of coffee an intense look, Sunny sighed and forced himself to drink some more. Bitter or not, he was determined to get his money's worth — taste buds be damned.",narration,0
"""I should have bought a piece of real meat instead. Who knew actual coffee is so disgusting? Well. It's going to keep me awake, at least.""",speech,0
"He stared into the distance, dozing off, and then slapped himself in the face to wake up.",narration,0
"""Tsk. What a rip-off.""",speech,0
"Shaking his head and cursing, Sunny finished the coffee and stood up. Rich people living in this part of the city were rushing past the small park on their way to work, staring at him with strange expressions. Looking haggard in his cheap clothes and from the lack of sleep, unhealthily thin and pale, Sunny was indeed out of his place here. Also, everyone seemed so tall. Watching them with a bit of envy, he tossed the cup into a garbage bin.",narration,0
"""I guess that's what three full meals a day would do to you.""",speech,0
"The cup missed the bin by a wide margin and fell on the ground. Sunny rolled his eyes in exasperation, walked over and picked it up before carefully putting it in the trash. Then, with a slight grin, he crossed the street and entered the police station.",narration,0
"Inside, a tired-looking officer gave him a quick glance and frowned with obvious distaste.",narration,0
"""Are you lost, boy?""",speech,0
"Sunny looked around with curiosity, noting reinforced armor plates on the walls and poorly hidden turret nests in the ceiling. The officer, too, looked scruffy and mean. At least police stations remained the same wherever you go.",narration,0
"""Hey! I'm talking to you!""",speech,0
Sunny cleared his throat.,narration,0
"""Uh, no.""",speech,0
Then he scratched the back of his head and added:,narration,0
"""As demanded by the Third Special Directive, I am here to surrender myself as a carrier of the Nightmare Spell.""",speech,0
"The officer's expression instantly changed from irritated to wary. He looked the young man over once again, this time with piercing intensity.",narration,0
"""Are you sure you are infected? When did you start showing symptoms?""",speech,0
